district,districtID,year,ntl
Simeulue,1101,2013,103.15139843803993
Aceh Singkil,1102,2013,156.26173043122478
Aceh Selatan,1103,2013,152.6698424417891
Aceh Tenggara,1104,2013,159.41838556528091
Aceh Timur,1105,2013,1020.5918037486426
Aceh Tengah,1106,2013,368.81300565600395
Aceh Barat,1107,2013,735.3348146499374
Aceh Besar,1108,2013,2503.8058119187167
Pidie,1109,2013,295.21280871372596
Bireuen,1110,2013,1533.1829474579467
Aceh Utara,1111,2013,2435.3436745793215
Aceh Barat Daya,1112,2013,312.07285389561275
Gayo Lues,1113,2013,91.99279540777206
Aceh Tamiang,1114,2013,2083.2176682570403
Nagan Raya,1115,2013,400.8613995329422
Aceh Jaya,1116,2013,352.6499844254816
Bener Meriah,1117,2013,123.50056476891041
Pidie Jaya,1118,2013,179.32353639240358
Kota Banda Aceh,1171,2013,2906.9965977367237
Kota Sabang,1172,2013,261.3749966918254
Kota Langsa,1173,2013,768.4828586397217
Kota Lhokseumawe,1174,2013,2158.601878560291
Kota Subulussalam,1175,2013,340.31038519740105
Nias,1201,2013,2.550960749387741
Mandailing Natal,1202,2013,532.2778319979416
Tapanuli Selatan,1203,2013,1152.4501678074107
Tapanuli Tengah,1204,2013,412.9552661385022
Tapanuli Utara,1205,2013,325.99187215029025
Toba Samosir,1206,2013,491.88292158766114
Labuhan Batu,1207,2013,1608.555604122141
Asahan,1208,2013,2551.7771642349517
Simalungun,1209,2013,1282.9550207964344
Dairi,1210,2013,370.78000951613865
Karo,1211,2013,859.3990902657603
Deli Serdang,1212,2013,16024.371403425406
Langkat,1213,2013,3973.0196322761913
Nias Selatan,1214,2013,78.40684892447555
Humbang Hasundutan,1215,2013,102.66373421222556
Pakpak Bharat,1216,2013,86.57724843679689
Samosir,1217,2013,42.95161040109747
Serdang Bedagai,1218,2013,2375.928928634817
Batu Bara,1219,2013,1682.3756513670376
Padang Lawas Utara,1220,2013,220.8893169684153
Padang Lawas,1221,2013,218.7733335494995
Labuhan Batu Selatan,1222,2013,583.1455159267374
Labuhan Batu Utara,1223,2013,667.4413333406635
Nias Utara,1224,2013,0.0
Nias Barat,1225,2013,0.0
Kota Sibolga,1271,2013,172.33163666538167
Kota Tanjung Balai,1272,2013,687.2925588153159
Kota Pematang Siantar,1273,2013,1122.3068458998903
Kota Tebing Tinggi,1274,2013,881.0175523764947
Kota Medan,1275,2013,22138.426020104507
Kota Binjai,1276,2013,1838.169288981662
Kota Padangsidimpuan,1277,2013,410.25425876864034
Kota Gunungsitoli,1278,2013,125.21341646675967
Kepulauan Mentawai,1301,2013,15.34610342821654
Pesisir Selatan,1302,2013,459.0502958063693
Solok,1303,2013,407.1230472264922
Sijunjung,1304,2013,541.9970448176796
Tanah Datar,1305,2013,518.2162522365065
Padang Pariaman,1306,2013,815.5230450510977
Agam,1307,2013,729.8840080488548
Lima Puluh Kota,1308,2013,436.0037648920919
Pasaman,1309,2013,200.00365628302097
Solok Selatan,1310,2013,177.24522410832782
Dharmasraya,1311,2013,594.0842208675894
Pasaman Barat,1312,2013,420.867531943555
Kota Padang,1371,2013,4394.192500842027
Kota Solok,1372,2013,695.970983651923
Kota Sawah Lunto,1373,2013,257.4121244431711
Kota Padang Panjang,1374,2013,482.46163199555633
Kota Bukittinggi,1375,2013,658.9869627480414
Kota Payakumbuh,1376,2013,554.7048960864545
Kota Pariaman,1377,2013,743.0394128672049
Kuantan Singingi,1401,2013,902.8942207376747
Indragiri Hulu,1402,2013,2061.987423080991
Indragiri Hilir,1403,2013,1213.019381926574
Pelalawan,1404,2013,3133.344345689939
Siak,1405,2013,8797.562241785083
Kampar,1406,2013,5304.588928043666
Rokan Hulu,1407,2013,872.1900058147077
Bengkalis,1408,2013,12333.519366959943
Rokan Hilir,1409,2013,4425.1711371867095
Kepulauan Meranti,1410,2013,1151.1800755391225
Kota Pekanbaru,1471,2013,14354.794084561923
Kota Dumai,1473,2013,5797.028813087241
Kerinci,1501,2013,265.1291336928951
Merangin,1502,2013,87.2325148212824
Sarolangun,1503,2013,730.8807500033872
Batang Hari,1504,2013,1193.6573307397302
Muaro Jambi,1505,2013,2661.7068737822565
Tanjung Jabung Timur,1506,2013,2319.2672440485185
Tanjung Jabung Barat,1507,2013,11742.356346212882
Tebo,1508,2013,736.1686639654505
Bungo,1509,2013,737.9744322778402
Kota Jambi,1571,2013,3425.6775241183295
Kota Sungai Penuh,1572,2013,313.860210601664
Ogan Komering Ulu,1601,2013,2529.79519730829
Ogan Komering Ilir,1602,2013,2280.168927349972
Muara Enim,1603,2013,12423.386787517022
Lahat,1604,2013,4220.019515231646
Musi Rawas,1605,2013,6018.60306409523
Musi Banyuasin,1606,2013,11956.960828150502
Banyu Asin,1607,2013,2906.5294575626767
Ogan Komering Ulu Selatan,1608,2013,49.833115299367435
Ogan Komering Ulu Timur,1609,2013,853.915146670476
Ogan Ilir,1610,2013,2249.7907677013036
Empat Lawang,1611,2013,86.44515542593949
Penukal Abab Lematang Ilir,1612,2013,5993.185114944507
Musi Rawas Utara,1613,2013,285.0098888868795
Kota Palembang,1671,2013,10972.047439635267
Kota Prabumulih,1672,2013,4320.681527264093
Kota Pagar Alam,1673,2013,559.5008622843261
Kota Lubuklinggau,1674,2013,569.7086305744508
Bengkulu Selatan,1701,2013,132.75460227840378
Rejang Lebong,1702,2013,286.0132874433316
Bengkulu Utara,1703,2013,140.90039588550434
Kaur,1704,2013,73.98200256935522
Seluma,1705,2013,6.421990367726368
Mukomuko,1706,2013,140.58984534556376
Lebong,1707,2013,66.67556145787239
Kepahiang,1708,2013,148.42005966440138
Bengkulu Tengah,1709,2013,69.1083990534585
Kota Bengkulu,1771,2013,1752.2935279393896
Lampung Barat,1801,2013,147.46668494232728
Tanggamus,1802,2013,702.2683611654476
Lampung Selatan,1803,2013,5228.417661591955
Lampung Timur,1804,2013,2398.113606417881
Lampung Tengah,1805,2013,4668.325058654653
Lampung Utara,1806,2013,1163.9041381887214
Way Kanan,1807,2013,440.7021426981653
Tulangbawang,1808,2013,1647.0974966670985
Pesawaran,1809,2013,1722.921420691177
Pringsewu,1810,2013,816.1871664235993
Mesuji,1811,2013,259.1299929662078
Tulang Bawang Barat,1812,2013,519.3234902593434
Pesisir Barat,1813,2013,16.294179093136506
Kota Bandar Lampung,1871,2013,6991.574118472316
Kota Metro,1872,2013,1212.171104868253
Bangka,1901,2013,1258.6257727891793
Belitung,1902,2013,1013.1284778842593
Bangka Barat,1903,2013,479.3399758633153
Bangka Tengah,1904,2013,850.1155537410402
Bangka Selatan,1905,2013,516.8585194730144
Belitung Timur,1906,2013,571.7748905178379
Kota Pangkal Pinang,1971,2013,1511.9636403228728
Karimun,2101,2013,2943.5829843585984
Bintan,2102,2013,1722.159861559202
Natuna,2103,2013,141.87845750120925
Lingga,2104,2013,221.74560036457638
Kepulauan Anambas,2105,2013,164.52400827314338
Kota Batam,2171,2013,19602.718691334296
Kota Tanjung Pinang,2172,2013,2114.687177116848
Kepulauan Seribu,3101,2013,74.2390303729796
Kota Jakarta Selatan,3171,2013,17781.419228048886
Kota Jakarta Timur,3172,2013,17493.244609225032
Kota Jakarta Pusat,3173,2013,9856.340905013734
Kota Jakarta Barat,3174,2013,15300.77141241933
Kota Jakarta Utara,3175,2013,18394.847602546917
Bogor,3201,2013,23869.480856991977
Sukabumi,3202,2013,4598.484947384048
Cianjur,3203,2013,4692.399982221774
Bandung,3204,2013,11038.604791657788
Garut,3205,2013,4589.567825597539
Tasikmalaya,3206,2013,3128.889778466115
Ciamis,3207,2013,2110.4420619894477
Kuningan,3208,2013,3074.388443508131
Cirebon,3209,2013,8865.139582713506
Majalengka,3210,2013,3743.6132927922063
Sumedang,3211,2013,4029.0532342665338
Indramayu,3212,2013,27250.50653709909
Subang,3213,2013,8078.172563349616
Purwakarta,3214,2013,5380.675477803924
Karawang,3215,2013,18193.256454470593
Bekasi,3216,2013,42532.352052129216
Bandung Barat,3217,2013,5721.776198443186
Pangandaran,3218,2013,433.29911775191624
Kota Bogor,3271,2013,4451.7089251242405
Kota Sukabumi,3272,2013,895.9241543730101
Kota Bandung,3273,2013,11067.898631521764
Kota Cirebon,3274,2013,1848.3188823281548
Kota Bekasi,3275,2013,14552.652030884052
Kota Depok,3276,2013,9215.179204104928
Kota Cimahi,3277,2013,1972.9446631927117
Kota Tasikmalaya,3278,2013,3158.812843847626
Kota Banjar,3279,2013,746.8221818601385
Cilacap,3301,2013,6816.037165425982
Banyumas,3302,2013,5470.125158420207
Purbalingga,3303,2013,1452.8479483335627
Banjarnegara,3304,2013,1333.7819167620996
Kebumen,3305,2013,2016.9475168430918
Purworejo,3306,2013,1353.4813576656813
Wonosobo,3307,2013,1115.460096958192
Magelang,3308,2013,2463.1817583116535
Boyolali,3309,2013,4364.475446544645
Klaten,3310,2013,5799.846687357973
Sukoharjo,3311,2013,4765.316372827102
Wonogiri,3312,2013,1754.0880155288705
Karanganyar,3313,2013,3627.1366483680167
Sragen,3314,2013,4198.922258327053
Grobogan,3315,2013,3750.049620585904
Blora,3316,2013,2317.3321684974667
Rembang,3317,2013,2443.234356659797
Pati,3318,2013,5671.242358471542
Kudus,3319,2013,4458.322370043747
Jepara,3320,2013,4812.565524479631
Demak,3321,2013,5421.7384675837
Semarang,3322,2013,4336.520352420035
Temanggung,3323,2013,1510.8476175177334
Kendal,3324,2013,3983.6052927643345
Batang,3325,2013,2377.8330266672033
Pekalongan,3326,2013,2834.400843334958
Pemalang,3327,2013,3229.5541144064846
Tegal,3328,2013,5419.685443989816
Brebes,3329,2013,5976.158251212829
Kota Magelang,3371,2013,560.7702682943906
Kota Surakarta,3372,2013,3257.14080136991
Kota Salatiga,3373,2013,1172.6593971406714
Kota Semarang,3374,2013,14788.468146319126
Kota Pekalongan,3375,2013,1297.4105158450554
Kota Tegal,3376,2013,1709.621383223814
Kulon Progo,3401,2013,939.6587384924587
Bantul,3402,2013,4182.751471705823
Gunung Kidul,3403,2013,1897.157829771118
Sleman,3404,2013,7051.129392321318
Kota Yogyakarta,3471,2013,2904.546422799428
Pacitan,3501,2013,931.5518860179711
Ponorogo,3502,2013,2294.062234365706
Trenggalek,3503,2013,920.5318229890628
Tulungagung,3504,2013,3458.225296324316
Blitar,3505,2013,3623.6898131892963
Kediri,3506,2013,5571.632132945166
Malang,3507,2013,12491.291737626263
Lumajang,3508,2013,3225.1478361869686
Jember,3509,2013,11032.602142281405
Banyuwangi,3510,2013,6401.232655051036
Bondowoso,3511,2013,2803.0440525434215
Situbondo,3512,2013,2936.8883666076645
Probolinggo,3513,2013,7216.237812815153
Pasuruan,3514,2013,10573.052312635415
Sidoarjo,3515,2013,22906.197957523662
Mojokerto,3516,2013,8072.418044037561
Jombang,3517,2013,5975.646678802956
Nganjuk,3518,2013,3272.3815972025186
Madiun,3519,2013,2604.6539059787992
Magetan,3520,2013,2278.6943587966402
Ngawi,3521,2013,2962.3242643034937
Bojonegoro,3522,2013,8947.401619239767
Tuban,3523,2013,15037.620208383245
Lamongan,3524,2013,6123.643594260776
Gresik,3525,2013,16389.422754247018
Bangkalan,3526,2013,5688.350091553379
Sampang,3527,2013,3909.8376048711884
Pamekasan,3528,2013,4676.118639615824
Sumenep,3529,2013,3391.292805575711
Kota Kediri,3571,2013,1547.4632287226468
Kota Blitar,3572,2013,762.9297390115026
Kota Malang,3573,2013,4521.358127930121
Kota Probolinggo,3574,2013,2033.1800365069337
Kota Pasuruan,3575,2013,1337.5715850301822
Kota Mojokerto,3576,2013,943.983485361174
Kota Madiun,3577,2013,1099.6736467165106
Kota Surabaya,3578,2013,36700.97240966091
Kota Batu,3579,2013,1543.8300904376242
Pandeglang,3601,2013,1983.4529185725478
Lebak,3602,2013,1929.9098930954053
Tangerang,3603,2013,22339.638280427345
Serang,3604,2013,8008.31993485508
Kota Tangerang,3671,2013,14206.647435549196
Kota Cilegon,3672,2013,8143.311900753603
Kota Serang,3673,2013,3530.691295556229
Kota Tangerang Selatan,3674,2013,11010.215186945597
Jembrana,5101,2013,989.2465861456799
Tabanan,5102,2013,1643.2816340308848
Badung,5103,2013,8050.760783747921
Gianyar,5104,2013,2985.458206197532
Klungkung,5105,2013,807.7372399421303
Bangli,5106,2013,502.9751708455093
Karang Asem,5107,2013,1075.9840796459828
Buleleng,5108,2013,1935.3674314335133
Kota Denpasar,5171,2013,5274.3573769997165
Lombok Barat,5201,2013,2382.8368877443463
Lombok Tengah,5202,2013,2094.9225586846032
Lombok Timur,5203,2013,2207.531252458073
Sumbawa,5204,2013,1208.9116280887501
Dompu,5205,2013,404.742707637639
Bima,5206,2013,538.4799784894869
Sumbawa Barat,5207,2013,2381.603059603797
Lombok Utara,5208,2013,286.8283957940398
Kota Mataram,5271,2013,2354.161560269431
Kota Bima,5272,2013,472.29534114420255
Sumba Barat,5301,2013,99.01038388110258
Sumba Timur,5302,2013,233.59468140504964
Kupang,5303,2013,508.245301389676
Timor Tengah Selatan,5304,2013,290.61271425755785
Timor Tengah Utara,5305,2013,191.18962863783042
Belu,5306,2013,303.5645779790539
Alor,5307,2013,128.3317027602929
Lembata,5308,2013,118.91397401765629
Flores Timur,5309,2013,185.9948872899162
Sikka,5310,2013,342.75911673384843
Ende,5311,2013,316.2091973822893
Ngada,5312,2013,131.19463595538312
Manggarai,5313,2013,261.9810259750113
Rote Ndao,5314,2013,86.07907602740269
Manggarai Barat,5315,2013,149.03492140671347
Sumba Tengah,5316,2013,22.009486143364043
Sumba Barat Daya,5317,2013,83.85296418896931
Nagekeo,5318,2013,109.63672685843035
Manggarai Timur,5319,2013,59.00495738746853
