district,districtID,year,ntl
Simeulue,1101,2013,0.16144972770168836
Aceh Singkil,1102,2013,0.1731149319958557
Aceh Selatan,1103,2013,0.16311779297318685
Aceh Tenggara,1104,2013,0.165683611029857
Aceh Timur,1105,2013,0.20759571609654223
Aceh Tengah,1106,2013,0.1510696461171205
Aceh Barat,1107,2013,0.23341815112308634
Aceh Besar,1108,2013,0.35803994071971895
Pidie,1109,2013,0.1985698552053426
Bireuen,1110,2013,0.4018778197256255
Aceh Utara,1111,2013,0.4151423387075726
Aceh Barat Daya,1112,2013,0.1831087668561167
Gayo Lues,1113,2013,0.1225169438165649
Aceh Tamiang,1114,2013,0.4186655406492594
Nagan Raya,1115,2013,0.18732938648064293
Aceh Jaya,1116,2013,0.15397105985099863
Bener Meriah,1117,2013,0.16289682006023173
Pidie Jaya,1118,2013,0.2343930628764242
Kota Banda Aceh,1171,2013,11.186315011218472
Kota Sabang,1172,2013,0.6557314120950065
Kota Langsa,1173,2013,0.9780932132851617
Kota Lhokseumawe,1174,2013,3.505473454555581
Kota Subulussalam,1175,2013,0.26929025605584145
Nias,1201,2013,0.18691333214352035
Mandailing Natal,1202,2013,0.2124185149124436
Tapanuli Selatan,1203,2013,0.285813907842801
Tapanuli Tengah,1204,2013,0.2764872815668983
Tapanuli Utara,1205,2013,0.23001247362838895
Toba Samosir,1206,2013,0.23766257968555185
Labuhan Batu,1207,2013,0.36682000738217035
Asahan,1208,2013,0.3775380591237477
Simalungun,1209,2013,0.2984958405203055
Dairi,1210,2013,0.253132326028882
Karo,1211,2013,0.2950214121182474
Deli Serdang,1212,2013,1.6181324974173914
Langkat,1213,2013,0.3686958485613617
Nias Selatan,1214,2013,0.17738341148147974
Humbang Hasundutan,1215,2013,0.23113274589701494
Pakpak Bharat,1216,2013,0.2107700968430557
Samosir,1217,2013,0.20960206733371603
Serdang Bedagai,1218,2013,0.5782192266933495
Batu Bara,1219,2013,0.6924487268048787
Padang Lawas Utara,1220,2013,0.24665673748595715
Padang Lawas,1221,2013,0.21326824894333501
Labuhan Batu Selatan,1222,2013,0.29263176916727857
Labuhan Batu Utara,1223,2013,0.24814029410038566
Nias Utara,1224,2013,0.17661031658919202
Nias Barat,1225,2013,0.17378873620993457
Kota Sibolga,1271,2013,3.4461640431241567
Kota Tanjung Balai,1272,2013,2.5377983230418986
Kota Pematang Siantar,1273,2013,3.277711363545928
Kota Tebing Tinggi,1274,2013,4.742931967449355
Kota Medan,1275,2013,16.69332776971546
Kota Binjai,1276,2013,4.322563646221799
