district,districtID,year,ntl
Simeulue,1101,2013,1389.3508832154762
Aceh Singkil,1102,2013,1529.845845977086
Aceh Selatan,1103,2013,3222.7470212641297
Aceh Tenggara,1104,2013,3220.3579113858223
Aceh Timur,1105,2013,5301.589166883664
Aceh Tengah,1106,2013,3337.5840613854825
Aceh Barat,1107,2013,3078.2947775135003
Aceh Besar,1108,2013,4874.799441669106
Pidie,1109,2013,2775.565828562665
Bireuen,1110,2013,3335.663127303737
Aceh Utara,1111,2013,5286.907687835307
Aceh Barat Daya,1112,2013,1625.5929573648957
Gayo Lues,1113,2013,3132.329684315509
Aceh Tamiang,1114,2013,4209.473499370804
Nagan Raya,1115,2013,3009.0094919097405
Aceh Jaya,1116,2013,2803.8462093309663
Bener Meriah,1117,2013,1476.5478819106652
Pidie Jaya,1118,2013,1062.8034094639195
Kota Banda Aceh,1171,2013,2907.0381300526506
Kota Sabang,1172,2013,378.8764669170273
Kota Langsa,1173,2013,974.9633150026497
Kota Lhokseumawe,1174,2013,2274.969790278229
Kota Subulussalam,1175,2013,1472.7315137258788
Nias,1201,2013,754.8945709593592
Mandailing Natal,1202,2013,6497.75658609027
Tapanuli Selatan,1203,2013,5542.6064180621925
Tapanuli Tengah,1204,2013,3021.2545926786447
Tapanuli Utara,1205,2013,3998.205803995828
Toba Samosir,1206,2013,2388.1258696819496
Labuhan Batu,1207,2013,4692.4348984342005
Asahan,1208,2013,6687.331641258942
Simalungun,1209,2013,6159.322371077595
Dairi,1210,2013,2362.957505178598
Karo,1211,2013,3008.573984286321
Deli Serdang,1212,2013,19674.803234304054
Langkat,1213,2013,10786.497789805779
Nias Selatan,1214,2013,2075.3671325603323
Humbang Hasundutan,1215,2013,2739.833973819339
Pakpak Bharat,1216,2013,1305.9612758179505
Samosir,1217,2013,1215.4634831837145
Serdang Bedagai,1218,2013,5259.1011415710045
Batu Bara,1219,2013,2962.11371576266
Padang Lawas Utara,1220,2013,4569.0442558754585
Padang Lawas,1221,2013,3824.015955658323
Labuhan Batu Selatan,1222,2013,4221.570166238821
Labuhan Batu Utara,1223,2013,4156.43361271202
Nias Utara,1224,2013,994.016191153688
Nias Barat,1225,2013,371.24613524275077
Kota Sibolga,1271,2013,175.0651333907072
Kota Tanjung Balai,1272,2013,722.5559672463176
Kota Pematang Siantar,1273,2013,1173.857696331248
Kota Tebing Tinggi,1274,2013,886.5190837825045
Kota Medan,1275,2013,22172.208871797015
Kota Binjai,1276,2013,1909.386545531072
Kota Padangsidimpuan,1277,2013,621.4671198180495
Kota Gunungsitoli,1278,2013,468.50990990365244
Kepulauan Mentawai,1301,2013,3943.3124997674445
Pesisir Selatan,1302,2013,5432.497547260782
Solok,1303,2013,3269.627968806924
Sijunjung,1304,2013,2630.5778221895234
Tanah Datar,1305,2013,2047.1711932849369
Padang Pariaman,1306,2013,1615.5600719968406
Agam,1307,2013,2909.13120812358
Lima Puluh Kota,1308,2013,3544.737838043861
Pasaman,1309,2013,3263.4591420709367
Solok Selatan,1310,2013,2494.48619677583
Dharmasraya,1311,2013,3324.779151888236
Pasaman Barat,1312,2013,3726.0561858127953
Kota Padang,1371,2013,5022.092855003156
Kota Solok,1372,2013,733.5362372484276
Kota Sawah Lunto,1373,2013,547.4716340541547
Kota Padang Panjang,1374,2013,484.3350126769028
Kota Bukittinggi,1375,2013,667.9282484035867
Kota Payakumbuh,1376,2013,635.0947802489877
Kota Pariaman,1377,2013,780.0227474645073
Kuantan Singingi,1401,2013,4753.917845316773
Indragiri Hulu,1402,2013,8834.372693168643
Indragiri Hilir,1403,2013,11565.933612630255
Pelalawan,1404,2013,15377.313843590591
Siak,1405,2013,17836.427652913047
Kampar,1406,2013,13517.096919496338
Rokan Hulu,1407,2013,7295.988914288361
Bengkalis,1408,2013,21676.214179357095
Rokan Hilir,1409,2013,14754.833443342568
Kepulauan Meranti,1410,2013,4686.982386499204
Kota Pekanbaru,1471,2013,15090.936140118625
Kota Dumai,1473,2013,8073.0286648189185
Kerinci,1501,2013,1924.5074127782084
Merangin,1502,2013,-3393.035471544155
Sarolangun,1503,2013,947.8794328445516
Batang Hari,1504,2013,3992.8906373107657
Muaro Jambi,1505,2013,6550.828748598888
Tanjung Jabung Timur,1506,2013,5449.400450748732
